epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3792,1.18549,3.3356,1.22004,0.0046,0.5,0.4725,0.34371,1.0724,3.60352,1.24338,6.668e-05,6.668e-05,6.668e-05
2,3.3323,1.03026,3.22597,1.20653,0.00405,0.5,0.4975,0.4145,0.79218,3.5657,1.05351,0.000148545,0.000148545,0.000148545
3,4.1994,0.95415,2.83302,1.10206,0.00366,0.5,0.4975,0.4145,0.62306,3.52587,0.97197,0.000228759,0.000228759,0.000228759
4,5.14556,0.78902,2.17781,1.02365,0.00667,1,0.50122,0.47476,0.53685,3.25179,0.88713,0.000307323,0.000307323,0.000307323
5,6.03966,0.76564,1.48312,0.96167,0.00426,0.625,0.4977,0.44151,0.58823,3.0066,0.86807,0.000384237,0.000384237,0.000384237
6,6.93544,0.72176,1.42982,0.93047,0.97451,0.5,0.49769,0.48515,0.61514,2.97388,0.87707,0.0004595,0.0004595,0.0004595
7,7.85267,0.71319,1.16242,0.93972,0.97473,0.5,0.4975,0.45081,0.63548,3.06548,0.94158,0.000533113,0.000533113,0.000533113
8,8.73025,0.62613,1.2204,0.99068,0.97473,0.5,0.4975,0.45081,0.63548,3.06548,0.94158,0.000605076,0.000605076,0.000605076
9,9.81042,0.72226,1.08472,0.94252,0.9145,0.5,0.49769,0.48516,0.64808,3.15142,0.89632,0.000675388,0.000675388,0.000675388
10,10.7627,0.67632,1.46613,1.01849,0.99128,0.5,0.51774,0.43627,0.89842,2.51995,1.04758,0.00074405,0.00074405,0.00074405
11,11.6304,0.73115,1.11115,0.9426,0.99128,0.5,0.51774,0.43627,0.89842,2.51995,1.04758,0.000811062,0.000811062,0.000811062
12,12.5085,0.67302,1.14046,0.96299,0.99169,0.5,0.97,0.77233,0.80838,2.0011,0.94002,0.000876424,0.000876424,0.000876424
13,13.4196,0.64481,1.06606,0.94566,0.99169,0.5,0.97,0.77233,0.80838,2.0011,0.94002,0.000940135,0.000940135,0.000940135
14,14.2701,0.66244,1.20416,0.94544,0.99169,0.5,0.97,0.77233,0.80838,2.0011,0.94002,0.0010022,0.0010022,0.0010022
15,15.1318,0.70649,1.0244,0.90527,1,0.5,0.995,0.81412,0.60897,2.36758,0.86254,0.00106261,0.00106261,0.00106261
16,15.9929,0.64265,1.09604,0.94561,1,0.5,0.995,0.81412,0.60897,2.36758,0.86254,0.00112137,0.00112137,0.00112137
17,16.9386,0.70353,1.17045,0.97642,1,0.5,0.995,0.81412,0.60897,2.36758,0.86254,0.00117848,0.00117848,0.00117848
18,17.8332,0.67059,0.98389,0.94707,0.68273,1,0.995,0.83108,0.59705,1.72032,0.87852,0.00123394,0.00123394,0.00123394
19,18.7039,0.59241,0.91438,0.88186,0.68273,1,0.995,0.83108,0.59705,1.72032,0.87852,0.00128774,0.00128774,0.00128774
20,19.5987,0.61859,0.88653,0.91097,0.68273,1,0.995,0.83108,0.59705,1.72032,0.87852,0.0013399,0.0013399,0.0013399
21,20.5639,0.73886,0.92615,0.96109,0.90108,1,0.995,0.82679,0.60353,1.20925,0.88861,0.00133693,0.00133693,0.00133693
22,21.4456,0.72427,0.935,0.98566,0.90108,1,0.995,0.82679,0.60353,1.20925,0.88861,0.00132043,0.00132043,0.00132043
23,22.3608,0.66751,0.97954,0.97443,0.90108,1,0.995,0.82679,0.60353,1.20925,0.88861,0.00130393,0.00130393,0.00130393
24,23.2404,0.71997,0.89879,0.95302,0.89331,1,0.995,0.82969,0.58243,1.1825,0.87634,0.00128742,0.00128742,0.00128742
25,24.059,0.65188,0.93433,0.91739,0.89331,1,0.995,0.82969,0.58243,1.1825,0.87634,0.00127092,0.00127092,0.00127092
26,24.9953,0.61332,0.9741,0.90663,0.89331,1,0.995,0.82969,0.58243,1.1825,0.87634,0.00125442,0.00125442,0.00125442
27,25.9256,0.65037,0.88378,0.92198,0.76422,1,0.995,0.82369,0.63902,1.22744,0.93623,0.00123791,0.00123791,0.00123791
28,26.7794,0.66432,0.96909,0.9672,0.76422,1,0.995,0.82369,0.63902,1.22744,0.93623,0.00122141,0.00122141,0.00122141
29,27.595,0.64315,0.94183,0.94561,0.76422,1,0.995,0.82369,0.63902,1.22744,0.93623,0.00120491,0.00120491,0.00120491
30,28.4366,0.65384,0.93716,0.96624,0.84429,0.99877,0.995,0.88606,0.48367,1.08453,0.85671,0.0011884,0.0011884,0.0011884
31,29.3424,0.59314,0.87864,0.91032,0.84429,0.99877,0.995,0.88606,0.48367,1.08453,0.85671,0.0011719,0.0011719,0.0011719
32,30.2245,0.63099,0.88771,0.91108,0.84429,0.99877,0.995,0.88606,0.48367,1.08453,0.85671,0.0011554,0.0011554,0.0011554
33,31.0592,0.57234,0.83063,0.94039,0.84429,0.99877,0.995,0.88606,0.48367,1.08453,0.85671,0.00113889,0.00113889,0.00113889
34,31.9527,0.59489,0.82822,0.90898,0.90265,1,0.995,0.91608,0.49815,0.95352,0.84606,0.00112239,0.00112239,0.00112239
35,32.8099,0.59858,0.85123,0.88983,0.90265,1,0.995,0.91608,0.49815,0.95352,0.84606,0.00110589,0.00110589,0.00110589
36,33.7735,0.51968,0.83867,0.90566,0.90265,1,0.995,0.91608,0.49815,0.95352,0.84606,0.00108938,0.00108938,0.00108938
37,34.6931,0.57335,0.8891,0.93036,0.83739,0.97648,0.995,0.90787,0.46144,1.14114,0.83901,0.00107288,0.00107288,0.00107288
38,35.5237,0.56496,0.83927,0.94221,0.83739,0.97648,0.995,0.90787,0.46144,1.14114,0.83901,0.00105638,0.00105638,0.00105638
39,36.3817,0.58147,0.82631,0.92176,0.83739,0.97648,0.995,0.90787,0.46144,1.14114,0.83901,0.00103987,0.00103987,0.00103987
40,37.2594,0.58902,0.92079,0.97307,0.91848,1,0.995,0.94525,0.42104,1.01329,0.82624,0.00102337,0.00102337,0.00102337
41,38.148,0.53113,0.83029,0.90268,0.91848,1,0.995,0.94525,0.42104,1.01329,0.82624,0.00100687,0.00100687,0.00100687
42,39.0282,0.49966,0.82613,0.88728,0.91848,1,0.995,0.94525,0.42104,1.01329,0.82624,0.000990365,0.000990365,0.000990365
43,39.8867,0.51918,0.7891,0.91581,0.967,1,0.995,0.92344,0.45431,0.76,0.83815,0.000973861,0.000973861,0.000973861
44,40.7764,0.51658,0.75594,0.8695,0.967,1,0.995,0.92344,0.45431,0.76,0.83815,0.000957358,0.000957358,0.000957358
45,41.6405,0.54679,0.79697,0.8685,0.967,1,0.995,0.92344,0.45431,0.76,0.83815,0.000940855,0.000940855,0.000940855
46,42.5022,0.48112,0.7701,0.88289,0.95969,1,0.995,0.92344,0.43908,0.80264,0.83757,0.000924352,0.000924352,0.000924352
47,43.3613,0.55648,0.84314,0.92527,0.95969,1,0.995,0.92344,0.43908,0.80264,0.83757,0.000907848,0.000907848,0.000907848
48,44.3854,0.53941,0.69164,0.86152,0.95969,1,0.995,0.92344,0.43908,0.80264,0.83757,0.000891345,0.000891345,0.000891345
49,45.228,0.52924,0.7585,0.88196,0.95969,1,0.995,0.92344,0.43908,0.80264,0.83757,0.000874842,0.000874842,0.000874842
50,46.0966,0.50016,0.7007,0.84783,0.96095,1,0.995,0.90571,0.40437,0.78286,0.83544,0.000858338,0.000858338,0.000858338
51,46.9531,0.53299,0.79799,0.88395,0.96095,1,0.995,0.90571,0.40437,0.78286,0.83544,0.000841835,0.000841835,0.000841835
52,47.8137,0.46116,0.81734,0.90716,0.96095,1,0.995,0.90571,0.40437,0.78286,0.83544,0.000825332,0.000825332,0.000825332
53,48.6881,0.48207,0.68933,0.86011,0.97748,1,0.995,0.89015,0.40627,0.7041,0.82695,0.000808828,0.000808828,0.000808828
54,49.5622,0.48067,0.74372,0.88765,0.97748,1,0.995,0.89015,0.40627,0.7041,0.82695,0.000792325,0.000792325,0.000792325
55,50.4824,0.56146,0.77652,0.87436,0.97748,1,0.995,0.89015,0.40627,0.7041,0.82695,0.000775822,0.000775822,0.000775822
56,51.3505,0.50624,0.70192,0.89181,0.97908,1,0.995,0.89225,0.43452,0.69805,0.83203,0.000759318,0.000759318,0.000759318
57,52.2427,0.47427,0.69364,0.89243,0.97908,1,0.995,0.89225,0.43452,0.69805,0.83203,0.000742815,0.000742815,0.000742815
58,53.1673,0.4682,0.70604,0.88286,0.97908,1,0.995,0.89225,0.43452,0.69805,0.83203,0.000726312,0.000726312,0.000726312
59,54.1474,0.47744,0.70177,0.88437,0.97477,1,0.995,0.90787,0.40159,0.69855,0.83001,0.000709809,0.000709809,0.000709809
60,55.0745,0.43787,0.68614,0.88622,0.97477,1,0.995,0.90787,0.40159,0.69855,0.83001,0.000693305,0.000693305,0.000693305
61,55.9248,0.47097,0.64654,0.86943,0.97477,1,0.995,0.90787,0.40159,0.69855,0.83001,0.000676802,0.000676802,0.000676802
62,56.8204,0.49171,0.64486,0.85397,0.9701,1,0.995,0.93994,0.381,0.70428,0.82842,0.000660299,0.000660299,0.000660299
63,57.7115,0.47096,0.70243,0.86823,0.9701,1,0.995,0.93994,0.381,0.70428,0.82842,0.000643795,0.000643795,0.000643795
64,58.5877,0.45737,0.68936,0.89396,0.9701,1,0.995,0.93994,0.381,0.70428,0.82842,0.000627292,0.000627292,0.000627292
65,59.4254,0.47248,0.76805,0.89268,0.9701,1,0.995,0.93994,0.381,0.70428,0.82842,0.000610789,0.000610789,0.000610789
66,60.2545,0.46899,0.6451,0.8486,0.97171,1,0.995,0.90162,0.38955,0.73471,0.82996,0.000594286,0.000594286,0.000594286
67,61.072,0.44155,0.62641,0.85369,0.97171,1,0.995,0.90162,0.38955,0.73471,0.82996,0.000577782,0.000577782,0.000577782
68,61.9283,0.45929,0.64974,0.91977,0.97171,1,0.995,0.90162,0.38955,0.73471,0.82996,0.000561279,0.000561279,0.000561279
69,62.8426,0.45581,0.63359,0.87789,0.97521,1,0.995,0.90162,0.40094,0.73021,0.83554,0.000544776,0.000544776,0.000544776
70,63.7485,0.46664,0.65977,0.87549,0.97521,1,0.995,0.90162,0.40094,0.73021,0.83554,0.000528272,0.000528272,0.000528272
71,64.6701,0.44111,0.62681,0.87824,0.97521,1,0.995,0.90162,0.40094,0.73021,0.83554,0.000511769,0.000511769,0.000511769
72,65.5983,0.51464,0.70485,0.92586,0.97448,1,0.995,0.90163,0.40767,0.69435,0.84272,0.000495266,0.000495266,0.000495266
73,66.4445,0.38505,0.60271,0.85268,0.97448,1,0.995,0.90163,0.40767,0.69435,0.84272,0.000478762,0.000478762,0.000478762
74,67.2957,0.50832,0.64127,0.88915,0.97448,1,0.995,0.90163,0.40767,0.69435,0.84272,0.000462259,0.000462259,0.000462259
75,68.2284,0.44403,0.60715,0.83316,0.9733,1,0.995,0.88606,0.43328,0.68793,0.84683,0.000445756,0.000445756,0.000445756
76,69.1676,0.43073,0.60475,0.88421,0.9733,1,0.995,0.88606,0.43328,0.68793,0.84683,0.000429253,0.000429253,0.000429253
77,70.0396,0.45861,0.64591,0.89875,0.9733,1,0.995,0.88606,0.43328,0.68793,0.84683,0.000412749,0.000412749,0.000412749
78,70.9022,0.44587,0.66729,0.87083,0.97098,1,0.995,0.90787,0.4275,0.64957,0.84123,0.000396246,0.000396246,0.000396246
79,71.7309,0.43346,0.63409,0.86428,0.97098,1,0.995,0.90787,0.4275,0.64957,0.84123,0.000379743,0.000379743,0.000379743
80,72.6785,0.45236,0.6467,0.83284,0.97098,1,0.995,0.90787,0.4275,0.64957,0.84123,0.000363239,0.000363239,0.000363239
81,73.5846,0.40958,0.61446,0.88648,0.97098,1,0.995,0.90787,0.4275,0.64957,0.84123,0.000346736,0.000346736,0.000346736
82,74.4942,0.4141,0.55756,0.85609,0.97126,1,0.995,0.90162,0.42106,0.64206,0.83624,0.000330233,0.000330233,0.000330233
83,75.3808,0.44167,0.61175,0.87174,0.97126,1,0.995,0.90162,0.42106,0.64206,0.83624,0.000313729,0.000313729,0.000313729
84,76.3944,0.43263,0.58846,0.87343,0.97126,1,0.995,0.90162,0.42106,0.64206,0.83624,0.000297226,0.000297226,0.000297226
85,77.2719,0.41691,0.60632,0.86635,0.97223,1,0.995,0.87981,0.4248,0.65985,0.8358,0.000280723,0.000280723,0.000280723
86,78.1815,0.42613,0.59868,0.87592,0.97223,1,0.995,0.87981,0.4248,0.65985,0.8358,0.00026422,0.00026422,0.00026422
87,79.1406,0.42966,0.59184,0.85531,0.97223,1,0.995,0.87981,0.4248,0.65985,0.8358,0.000247716,0.000247716,0.000247716
88,80.0888,0.4478,0.67329,0.85671,0.97438,1,0.995,0.89019,0.41719,0.64165,0.83375,0.000231213,0.000231213,0.000231213
89,80.9959,0.39596,0.61916,0.88164,0.97438,1,0.995,0.89019,0.41719,0.64165,0.83375,0.00021471,0.00021471,0.00021471
90,81.8985,0.40896,0.58791,0.84666,0.97438,1,0.995,0.89019,0.41719,0.64165,0.83375,0.000198206,0.000198206,0.000198206
91,82.9438,0.38197,0.7541,0.79876,0.97545,1,0.995,0.91812,0.39957,0.63959,0.83162,0.000181703,0.000181703,0.000181703
92,83.8029,0.40068,0.71168,0.81934,0.97545,1,0.995,0.91812,0.39957,0.63959,0.83162,0.0001652,0.0001652,0.0001652
93,84.6771,0.36279,0.68571,0.78945,0.97545,1,0.995,0.91812,0.39957,0.63959,0.83162,0.000148696,0.000148696,0.000148696
94,85.6277,0.38266,0.73868,0.84174,0.97455,1,0.995,0.91812,0.393,0.62432,0.83122,0.000132193,0.000132193,0.000132193
95,86.4908,0.36724,0.73294,0.83407,0.97455,1,0.995,0.91812,0.393,0.62432,0.83122,0.00011569,0.00011569,0.00011569
96,87.3339,0.34401,0.68581,0.84292,0.97455,1,0.995,0.91812,0.393,0.62432,0.83122,9.91865e-05,9.91865e-05,9.91865e-05
97,88.1725,0.39205,0.69044,0.86095,0.97455,1,0.995,0.91812,0.393,0.62432,0.83122,8.26832e-05,8.26832e-05,8.26832e-05
98,89.06,0.38225,0.77006,0.85917,0.97405,1,0.995,0.90162,0.39174,0.62805,0.82921,6.61799e-05,6.61799e-05,6.61799e-05
99,89.9026,0.38553,0.72413,0.8503,0.97405,1,0.995,0.90162,0.39174,0.62805,0.82921,4.96766e-05,4.96766e-05,4.96766e-05
100,90.8237,0.35832,0.75151,0.83146,0.97405,1,0.995,0.90162,0.39174,0.62805,0.82921,3.31733e-05,3.31733e-05,3.31733e-05
